V(out)	I(R3)	power
7.852880e-028	5.888829e+000	4.624426e-027	
8.318192e-028	5.888829e+000	4.898441e-027	
8.811076e-028	5.888829e+000	5.188692e-027	
9.333164e-028	5.888829e+000	5.496141e-027	
9.886189e-028	5.888829e+000	5.821808e-027	
1.047198e-027	5.888829e+000	6.166772e-027	
1.109249e-027	5.888829e+000	6.532176e-027	
1.174976e-027	5.888829e+000	6.919232e-027	
1.244598e-027	5.888829e+000	7.329222e-027	
1.318345e-027	5.888829e+000	7.763506e-027	
1.396461e-027	5.888829e+000	8.223522e-027	
1.479207e-027	5.888829e+000	8.710796e-027	
1.566855e-027	5.888829e+000	9.226943e-027	
1.659697e-027	5.888829e+000	9.773674e-027	
1.758041e-027	5.888829e+000	1.035280e-026	
1.862211e-027	5.888829e+000	1.096624e-026	
1.972554e-027	5.888829e+000	1.161603e-026	
2.089435e-027	5.888829e+000	1.230433e-026	
2.213242e-027	5.888829e+000	1.303340e-026	
2.344385e-027	5.888829e+000	1.380568e-026	
2.483298e-027	5.888829e+000	1.462372e-026	
2.630443e-027	5.888829e+000	1.549023e-026	
2.786307e-027	5.888829e+000	1.640808e-026	
2.951406e-027	5.888829e+000	1.738032e-026	
3.126288e-027	5.888829e+000	1.841017e-026	
3.311532e-027	5.888829e+000	1.950104e-026	
3.507752e-027	5.888829e+000	2.065655e-026	
3.715600e-027	5.888829e+000	2.188053e-026	
3.935763e-027	5.888829e+000	2.317703e-026	
4.168972e-027	5.888829e+000	2.455036e-026	
4.415999e-027	5.888829e+000	2.600506e-026	
4.677663e-027	5.888829e+000	2.754596e-026	
4.954832e-027	5.888829e+000	2.917816e-026	
5.248424e-027	5.888829e+000	3.090707e-026	
5.559413e-027	5.888829e+000	3.273843e-026	
5.888829e-027	5.888829e+000	3.467831e-026	
6.237764e-027	5.888829e+000	3.673312e-026	
6.607375e-027	5.888829e+000	3.890970e-026	
6.998886e-027	5.888829e+000	4.121524e-026	
7.413596e-027	5.888829e+000	4.365740e-026	
7.852879e-027	5.888829e+000	4.624426e-026	
8.318192e-027	5.888829e+000	4.898441e-026	
8.811076e-027	5.888829e+000	5.188692e-026	
9.333165e-027	5.888829e+000	5.496141e-026	
9.886190e-027	5.888829e+000	5.821808e-026	
1.047198e-026	5.888829e+000	6.166771e-026	
1.109249e-026	5.888829e+000	6.532176e-026	
1.174976e-026	5.888829e+000	6.919231e-026	
1.244598e-026	5.888829e+000	7.329222e-026	
1.318344e-026	5.888829e+000	7.763505e-026	
1.396461e-026	5.888829e+000	8.223522e-026	
1.479207e-026	5.888829e+000	8.710796e-026	
1.566855e-026	5.888829e+000	9.226943e-026	
1.659698e-026	5.888829e+000	9.773675e-026	
1.758041e-026	5.888829e+000	1.035280e-025	
1.862211e-026	5.888829e+000	1.096624e-025	
1.972554e-026	5.888829e+000	1.161603e-025	
2.089435e-026	5.888829e+000	1.230433e-025	
2.213242e-026	5.888829e+000	1.303340e-025	
2.344385e-026	5.888829e+000	1.380568e-025	
2.483299e-026	5.888829e+000	1.462372e-025	
2.630443e-026	5.888829e+000	1.549023e-025	
2.786307e-026	5.888829e+000	1.640808e-025	
2.951406e-026	5.888829e+000	1.738032e-025	
3.126288e-026	5.888829e+000	1.841017e-025	
3.311532e-026	5.888829e+000	1.950104e-025	
3.507752e-026	5.888829e+000	2.065655e-025	
3.715600e-026	5.888829e+000	2.188053e-025	
3.935763e-026	5.888829e+000	2.317703e-025	
4.168971e-026	5.888829e+000	2.455036e-025	
